Name,Relative_Permittivity,Loss_Tangent,Frequency,Comments
"RO4350B",4.38,0.003,12000000000,""
"Air",1,0,1000000000,""
"FR4",4.8,0.026,100000000,""
"Teflon",2.1,0.0002,100000000,""
"Foam",1.03,0.00015,50000000,""
"Polystyrene",2.55,0.0001,100000000,""
"Plexiglas",2.59,0.00676,10000000000,""
"Fused quartz",3.78,0.0001,10000000000,""
"E glass",6.22,0.0023,100000000,""
"RO4725JXR",2.55,0.0022,2500000000,""
"RO4730JXR",3,0.0023,2500000000,""
"TMM3",3.45,0.002,10000000000,""
"TMM4",4.7,0.002,10000000000,""
"TMM6",6.3,0.0023,10000000000,""
"TMM10",9.8,0.0022,10000000000,""
"TMM10i",9.9,0.002,10000000000,""
"Taconic RF-35",3.5,0.0018,1900000000,""
